race_name,circuit_name,date,location,country
Bahrain Grand Prix,Bahrain International Circuit,2024-03-02,Sakhir,Bahrain
Saudi Arabian Grand Prix,Jeddah Corniche Circuit,2024-03-09,Jeddah,Saudi Arabia
Australian Grand Prix,Albert Park Grand Prix Circuit,2024-03-24,Melbourne,Australia
Japanese Grand Prix,Suzuka Circuit,2024-04-07,Suzuka,Japan
Chinese Grand Prix,Shanghai International Circuit,2024-04-21,Shanghai,China
Miami Grand Prix,Miami International Autodrome,2024-05-05,Miami,USA
Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,2024-05-19,Imola,Italy
Monaco Grand Prix,Circuit de Monaco,2024-05-26,Monte-Carlo,Monaco
Canadian Grand Prix,Circuit Gilles Villeneuve,2024-06-09,Montreal,Canada
Spanish Grand Prix,Circuit de Barcelona-Catalunya,2024-06-23,Montmeló,Spain
Austrian Grand Prix,Red Bull Ring,2024-06-30,Spielberg,Austria
British Grand Prix,Silverstone Circuit,2024-07-07,Silverstone,UK
Hungarian Grand Prix,Hungaroring,2024-07-21,Budapest,Hungary
Belgian Grand Prix,Circuit de Spa-Francorchamps,2024-07-28,Spa,Belgium
Dutch Grand Prix,Circuit Park Zandvoort,2024-08-25,Zandvoort,Netherlands
Italian Grand Prix,Autodromo Nazionale di Monza,2024-09-01,Monza,Italy
Azerbaijan Grand Prix,Baku City Circuit,2024-09-15,Baku,Azerbaijan
Singapore Grand Prix,Marina Bay Street Circuit,2024-09-22,Marina Bay,Singapore
United States Grand Prix,Circuit of the Americas,2024-10-20,Austin,USA
Mexico City Grand Prix,Autódromo Hermanos Rodríguez,2024-10-27,Mexico City,Mexico
São Paulo Grand Prix,Autódromo José Carlos Pace,2024-11-03,São Paulo,Brazil
Las Vegas Grand Prix,Las Vegas Strip Street Circuit,2024-11-23,Las Vegas,United States
Qatar Grand Prix,Losail International Circuit,2024-12-01,Al Daayen,Qatar
Abu Dhabi Grand Prix,Yas Marina Circuit,2024-12-08,Abu Dhabi,UAE
